InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio,Alpha
0,0.05,5,-1.0,4533,4380,3861,0.966,0.852,0.738,95,-1,1
0,0.05,4,-1.0,4533,7534,3903,1.662,0.861,0.06000000000000005,95,-1,1
0,0.05,3,-1.0,4533,11808,3236,2.604,0.714,-1.1760000000000002,95,-1,1
0,0.05,9,-1.0,3914,2525,2525,0.645,0.645,0.645,80,-1,1
0,0.05,8,-1.0,3914,2724,2724,0.696,0.696,0.696,80,-1,1
0,0.05,7,-1.0,3914,2938,2934,0.75,0.749,0.748,80,-1,1
0,0.05,6,-1.0,3914,3180,3144,0.812,0.803,0.794,80,-1,1
0,0.05,5,-1.0,3914,3685,3301,0.941,0.843,0.745,80,-1,1
0,0.05,4,-1.0,3914,6384,3323,1.631,0.849,0.06699999999999995,80,-1,1
0,0.05,3,-1.0,3914,10150,2718,2.593,0.694,-1.205,80,-1,1
0,0.05,9,-1.0,3168,2026,2026,0.639,0.639,0.639,65,-1,1
0,0.05,8,-1.0,3168,2170,2168,0.685,0.684,0.683,65,-1,1
0,0.05,7,-1.0,3168,2327,2320,0.734,0.732,0.73,65,-1,1
0,0.05,6,-1.0,3168,2507,2476,0.791,0.781,0.771,65,-1,1
0,0.05,5,-1.0,3168,2955,2650,0.932,0.836,0.7399999999999999,65,-1,1
0,0.05,4,-1.0,3168,5147,2701,1.624,0.852,0.07999999999999985,65,-1,1
0,0.05,3,-1.0,3168,8263,2242,2.607,0.707,-1.1930000000000003,65,-1,1
0,0.05,9,-1.0,2365,1518,1517,0.642,0.641,0.64,50,-1,1
0,0.05,8,-1.0,2365,1669,1668,0.705,0.705,0.705,50,-1,1
0,0.05,7,-1.0,2365,1810,1807,0.765,0.764,0.763,50,-1,1
0,0.05,6,-1.0,2365,1934,1908,0.817,0.806,0.7950000000000002,50,-1,1
0,0.05,5,-1.0,2365,2256,2026,0.954,0.856,0.758,50,-1,1
0,0.05,4,-1.0,2365,3915,2034,1.655,0.86,0.06499999999999995,50,-1,1
0,0.05,3,-1.0,2365,6256,1707,2.644,0.721,-1.2020000000000002,50,-1,1
0,0.05,9,-1.0,1720,1105,1105,0.642,0.642,0.642,35,-1,1
0,0.05,8,-1.0,1720,1207,1206,0.701,0.701,0.701,35,-1,1
0,0.05,7,-1.0,1720,1318,1316,0.766,0.765,0.764,35,-1,1
0,0.05,6,-1.0,1720,1433,1412,0.833,0.82,0.8069999999999999,35,-1,1
0,0.05,5,-1.0,1720,1644,1478,0.955,0.859,0.763,35,-1,1
0,0.05,4,-1.0,1720,2852,1482,1.657,0.861,0.06499999999999995,35,-1,1
0,0.05,3,-1.0,1720,4474,1194,2.6,0.694,-1.2120000000000002,35,-1,1
0,0.05,9,-1.0,944,582,582,0.616,0.616,0.616,20,-1,1
0,0.05,8,-1.0,944,637,637,0.674,0.674,0.674,20,-1,1
0,0.05,7,-1.0,944,686,686,0.726,0.726,0.726,20,-1,1
0,0.05,6,-1.0,944,744,734,0.787,0.777,0.767,20,-1,1
0,0.05,5,-1.0,944,885,782,0.937,0.828,0.7189999999999999,20,-1,1
0,0.05,4,-1.0,944,1558,796,1.649,0.842,0.03499999999999992,20,-1,1
0,0.05,3,-1.0,944,2453,635,2.596,0.672,-1.252,20,-1,1
0,0.05,9,-1.0,8829,5984,5848,0.678,0.662,0.646,185,-1,0
0,0.05,8,-1.0,8829,6393,6257,0.724,0.709,0.694,185,-1,0
0,0.05,7,-1.0,8829,6900,6752,0.781,0.765,0.749,185,-1,0
0,0.05,6,-1.0,8829,7617,7170,0.863,0.812,0.7610000000000001,185,-1,0
0,0.05,5,-1.0,8829,10344,7566,1.171,0.857,0.5429999999999999,185,-1,0
0,0.05,4,-1.0,8829,22164,7752,2.51,0.878,-0.7539999999999998,185,-1,0
0,0.05,3,-1.0,8829,46797,6817,5.3,0.772,-3.756,185,-1,0
0,0.05,9,-1.0,7964,5334,5187,0.67,0.651,0.632,170,-1,0
0,0.05,8,-1.0,7964,5741,5587,0.721,0.701,0.6809999999999999,170,-1,0
0,0.05,7,-1.0,7964,6181,6017,0.776,0.755,0.734,170,-1,0
0,0.05,6,-1.0,7964,6780,6404,0.851,0.804,0.7570000000000001,170,-1,0
0,0.05,5,-1.0,7964,9141,6821,1.148,0.856,0.5640000000000001,170,-1,0
0,0.05,4,-1.0,7964,19872,7003,2.495,0.879,-0.7370000000000001,170,-1,0
0,0.05,3,-1.0,7964,42158,6100,5.293,0.766,-3.761,170,-1,0
0,0.05,9,-1.0,7317,4881,4767,0.667,0.651,0.635,155,-1,0
0,0.05,8,-1.0,7317,5241,5133,0.716,0.701,0.6859999999999999,155,-1,0
0,0.05,7,-1.0,7317,5682,5550,0.776,0.758,0.74,155,-1,0
0,0.05,6,-1.0,7317,6245,5925,0.853,0.81,0.7670000000000001,155,-1,0
0,0.05,5,-1.0,7317,8260,6260,1.129,0.855,0.581,155,-1,0
0,0.05,4,-1.0,7317,17849,6365,2.439,0.87,-0.6990000000000001,155,-1,0
0,0.05,3,-1.0,7317,38859,5641,5.31,0.771,-3.768,155,-1,0
0,0.05,9,-1.0,6679,4460,4295,0.668,0.643,0.618,140,-1,0
0,0.05,8,-1.0,6679,4802,4657,0.719,0.697,0.6749999999999999,140,-1,0
0,0.05,7,-1.0,6679,5154,5009,0.772,0.75,0.728,140,-1,0
0,0.05,6,-1.0,6679,5628,5361,0.843,0.803,0.7630000000000001,140,-1,0
0,0.05,5,-1.0,6679,7346,5690,1.1,0.852,0.6039999999999999,140,-1,0
0,0.05,4,-1.0,6679,16090,5810,2.409,0.87,-0.6689999999999998,140,-1,0
0,0.05,3,-1.0,6679,35247,5068,5.276,0.759,-3.758,140,-1,0
0,0.05,9,-1.0,6080,3947,3746,0.649,0.616,0.583,125,-1,0
0,0.05,8,-1.0,6080,4294,4128,0.706,0.679,0.6520000000000001,125,-1,0
0,0.05,7,-1.0,6080,4632,4495,0.762,0.739,0.716,125,-1,0
0,0.05,6,-1.0,6080,5089,4863,0.837,0.8,0.7630000000000001,125,-1,0
0,0.05,5,-1.0,6080,6610,5182,1.087,0.852,0.617,125,-1,0
0,0.05,4,-1.0,6080,13984,5305,2.3,0.872,-0.5559999999999998,125,-1,0
0,0.05,3,-1.0,6080,31748,4660,5.221,0.766,-3.689,125,-1,0
0,0.05,9,-1.0,5280,3259,3043,0.617,0.576,0.5349999999999999,110,-1,0
0,0.05,8,-1.0,5280,3609,3411,0.683,0.646,0.609,110,-1,0
0,0.05,7,-1.0,5280,3957,3782,0.749,0.716,0.6829999999999999,110,-1,0
0,0.05,6,-1.0,5280,4340,4092,0.822,0.775,0.7280000000000001,110,-1,0
0,0.05,5,-1.0,5280,5539,4388,1.049,0.831,0.613,110,-1,0
0,0.05,4,-1.0,5280,11986,4532,2.27,0.858,-0.554,110,-1,0
0,0.05,3,-1.0,5280,27257,4007,5.161,0.759,-3.643,110,-1,0
0,0.05,9,-1.0,4453,2729,2510,0.613,0.564,0.5149999999999999,95,-1,0
0,0.05,8,-1.0,4453,2987,2781,0.671,0.624,0.577,95,-1,0
0,0.05,7,-1.0,4453,3260,3055,0.732,0.686,0.6400000000000001,95,-1,0
0,0.05,6,-1.0,4453,3608,3345,0.81,0.751,0.692,95,-1,0
0,0.05,5,-1.0,4453,4534,3591,1.018,0.806,0.5940000000000001,95,-1,0
0,0.05,4,-1.0,4453,9753,3732,2.19,0.838,-0.514,95,-1,0
0,0.05,3,-1.0,4453,23089,3363,5.184,0.755,-3.6740000000000004,95,-1,0
0,0.05,9,-1.0,3822,2182,1932,0.571,0.505,0.43900000000000006,80,-1,0
0,0.05,8,-1.0,3822,2413,2174,0.631,0.569,0.5069999999999999,80,-1,0
0,0.05,7,-1.0,3822,2647,2434,0.692,0.637,0.5820000000000001,80,-1,0
0,0.05,6,-1.0,3822,2922,2687,0.764,0.703,0.6419999999999999,80,-1,0
0,0.05,5,-1.0,3822,3707,2932,0.97,0.767,0.5640000000000001,80,-1,0
0,0.05,4,-1.0,3822,7846,3132,2.052,0.819,-0.41400000000000015,80,-1,0
0,0.05,3,-1.0,3822,19375,2847,5.068,0.745,-3.5779999999999994,80,-1,0
0,0.05,9,-1.0,3139,1662,1444,0.529,0.46,0.391,65,-1,0
0,0.05,8,-1.0,3139,1840,1632,0.586,0.52,0.45400000000000007,65,-1,0
0,0.05,7,-1.0,3139,2044,1830,0.651,0.583,0.5149999999999999,65,-1,0
0,0.05,6,-1.0,3139,2303,2056,0.733,0.655,0.5770000000000001,65,-1,0
0,0.05,5,-1.0,3139,2846,2263,0.906,0.721,0.5359999999999999,65,-1,0
0,0.05,4,-1.0,3139,6066,2477,1.932,0.789,-0.35399999999999987,65,-1,0
0,0.05,3,-1.0,3139,15556,2351,4.954,0.749,-3.4559999999999995,65,-1,0
0,0.05,9,-1.0,2329,1115,976,0.479,0.419,0.359,50,-1,0
0,0.05,8,-1.0,2329,1255,1112,0.539,0.477,0.4149999999999999,50,-1,0
0,0.05,7,-1.0,2329,1440,1277,0.618,0.548,0.4780000000000001,50,-1,0
0,0.05,6,-1.0,2329,1596,1433,0.685,0.615,0.5449999999999999,50,-1,0
0,0.05,5,-1.0,2329,1987,1603,0.853,0.688,0.5229999999999999,50,-1,0
0,0.05,4,-1.0,2329,4087,1740,1.754,0.747,-0.26,50,-1,0
0,0.05,3,-1.0,2329,11343,1752,4.868,0.752,-3.3640000000000003,50,-1,0
0,0.05,9,-1.0,1628,664,608,0.408,0.373,0.338,35,-1,0
0,0.05,8,-1.0,1628,764,704,0.469,0.432,0.395,35,-1,0
0,0.05,7,-1.0,1628,865,802,0.531,0.492,0.45299999999999996,35,-1,0
0,0.05,6,-1.0,1628,996,908,0.611,0.557,0.5030000000000001,35,-1,0
0,0.05,5,-1.0,1628,1219,1012,0.748,0.621,0.494,35,-1,0
0,0.05,4,-1.0,1628,2365,1118,1.452,0.686,-0.07999999999999985,35,-1,0
0,0.05,3,-1.0,1628,7565,1166,4.644,0.716,-3.212,35,-1,0
0,0.05,9,-1.0,923,350,323,0.379,0.35,0.32099999999999995,20,-1,0
0,0.05,8,-1.0,923,398,376,0.431,0.407,0.38299999999999995,20,-1,0
0,0.05,7,-1.0,923,449,421,0.486,0.456,0.42600000000000005,20,-1,0
0,0.05,6,-1.0,923,520,486,0.563,0.526,0.4890000000000001,20,-1,0
0,0.05,5,-1.0,923,606,541,0.656,0.585,0.5139999999999999,20,-1,0
0,0.05,4,-1.0,923,995,609,1.077,0.659,0.2410000000000001,20,-1,0
0,0.05,3,-1.0,923,3605,668,3.902,0.723,-2.4560000000000004,20,-1,0
