InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,,,,,,
100000,0.05,7,0.92,5089,2545,2382,0.5,0.468,,,,,,
100000,0.01,8,0.92,1011,467,378,0.462,0.374,,,,,,
100000,0.1,7,0.92,9983,4128,3874,0.414,0.388,,,,,,
100000,0.05,8,0.92,5089,2076,1951,0.408,0.383,,,,,,
100000,0.01,9,0.92,1011,372,296,0.368,0.293,,,,,,
100000,0.01,10,0.92,1011,346,279,0.342,0.276,,,,,,
100000,0.05,9,0.92,5089,1632,1542,0.321,0.303,,,,,,
100000,0.1,8,0.92,9983,2821,2662,0.283,0.267,,,,,,
100000,0.01,1,0.92,1011,276,209,0.273,0.207,,,,,,
100000,0.01,11,0.92,1011,268,212,0.265,0.21,,,,,,
100000,0.05,10,0.92,5089,1217,1156,0.239,0.227,,,,,,
100000,0.01,12,0.92,1011,232,180,0.229,0.178,,,,,,
100000,0.01,13,0.92,1011,187,143,0.185,0.141,,,,,,
100000,0.05,11,0.92,5089,927,877,0.182,0.172,,,,,,
100000,0.1,9,0.92,9983,1791,1707,0.179,0.171,,,,,,
100000,0.05,12,0.92,5089,715,681,0.14,0.134,,,,,,
100000,0.01,15,0.92,1011,138,99,0.136,0.098,,,,,,
100000,0.01,14,0.92,1011,138,105,0.136,0.104,,,,,,
100000,0.1,10,0.92,9983,1133,1073,0.113,0.107,,,,,,
100000,0.01,16,0.92,1011,109,76,0.108,0.075,,,,,,
100000,0.05,13,0.92,5089,518,491,0.102,0.096,,,,,,
100000,0.05,14,0.92,5089,386,363,0.076,0.071,,,,,,
100000,0.1,11,0.92,9983,728,695,0.073,0.07,,,,,,
100000,0.1,12,0.92,9983,492,469,0.049,0.047,,,,,,
100000,0.01,17,0.92,1011,50,35,0.049,0.035,,,,,,
100000,0.05,15,0.92,5089,237,224,0.047,0.044,,,,,,
100000,0.01,18,0.92,1011,40,28,0.04,0.028,,,,,,
100000,0.1,13,0.92,9983,315,300,0.032,0.03,,,,,,
100000,0.05,16,0.92,5089,155,149,0.03,0.029,,,,,,
100000,0.01,19,0.92,1011,30,21,0.03,0.021,,,,,,
100000,0.1,14,0.92,9983,186,176,0.019,0.018,,,,,,
100000,0.05,17,0.92,5089,98,95,0.019,0.019,,,,,,
100000,0.05,18,0.92,5089,52,49,0.01,0.01,,,,,,
100000,0.1,15,0.92,9983,75,68,0.008,0.007,,,,,,
100000,0.05,19,0.92,5089,34,33,0.007,0.006,,,,,,
100000,0.1,17,0.92,9983,15,14,0.002,0.001,,,,,,
100000,0.1,16,0.92,9983,23,22,0.002,0.002,,,,,,
100000,0.1,19,0.92,9983,7,7,0.001,0.001,,,,,,
100000,0.1,18,0.92,9983,9,9,0.001,0.001,,,,,,
100000,0.05,1,0.91,5020,4405,3780,0.877,0.753,,,,,,
100000,0.1,2,0.91,10074,8406,7516,0.834,0.746,,,,,,
100000,0.05,2,0.91,5020,4066,3638,0.81,0.725,,,,,,
100000,0.05,3,0.91,5020,3962,3613,0.789,0.72,,,,,,
100000,0.1,3,0.91,10074,7891,7252,0.783,0.72,,,,,,
100000,0.1,1,0.91,10074,7861,6873,0.78,0.682,,,,,,
100000,0.05,4,0.91,5020,3787,3457,0.754,0.689,,,,,,
100000,0.01,2,0.91,989,735,547,0.743,0.553,,,,,,
100000,0.01,3,0.91,989,733,543,0.741,0.549,,,,,,
100000,0.1,4,0.91,10074,7386,6767,0.733,0.672,,,,,,
100000,0.01,4,0.91,989,710,526,0.718,0.532,,,,,,
100000,0.01,5,0.91,989,667,489,0.674,0.494,,,,,,
100000,0.05,5,0.91,5020,3362,3073,0.67,0.612,,,,,,
100000,0.1,5,0.91,10074,6289,5782,0.624,0.574,,,,,,
100000,0.05,6,0.91,5020,2927,2683,0.583,0.534,,,,,,
100000,0.01,6,0.91,989,567,411,0.573,0.416,,,,,,
100000,0.1,6,0.91,10074,4962,4578,0.493,0.454,,,,,,
100000,0.01,7,0.91,989,463,326,0.468,0.33,,,,,,
100000,0.05,7,0.91,5020,2319,2126,0.462,0.424,,,,,,
100000,0.01,8,0.91,989,426,305,0.431,0.308,,,,,,
100000,0.1,7,0.91,10074,3757,3476,0.373,0.345,,,,,,
100000,0.05,8,0.91,5020,1860,1718,0.371,0.342,,,,,,
100000,0.01,9,0.91,989,317,240,0.321,0.243,,,,,,
100000,0.01,10,0.91,989,281,210,0.284,0.212,,,,,,
100000,0.05,9,0.91,5020,1379,1278,0.275,0.255,,,,,,
100000,0.1,8,0.91,10074,2497,2325,0.248,0.231,,,,,,
100000,0.01,11,0.91,989,240,183,0.243,0.185,,,,,,
100000,0.01,12,0.91,989,216,161,0.218,0.163,,,,,,
100000,0.05,10,0.91,5020,991,924,0.197,0.184,,,,,,
100000,0.1,9,0.91,10074,1583,1489,0.157,0.148,,,,,,
100000,0.01,13,0.91,989,148,104,0.15,0.105,,,,,,
100000,0.05,11,0.91,5020,718,671,0.143,0.134,,,,,,
100000,0.01,14,0.91,989,132,93,0.133,0.094,,,,,,
100000,0.01,15,0.91,989,113,80,0.114,0.081,,,,,,
100000,0.1,10,0.91,10074,970,912,0.096,0.091,,,,,,
100000,0.05,13,0.91,5020,395,372,0.079,0.074,,,,,,
100000,0.1,11,0.91,10074,615,581,0.061,0.058,,,,,,
100000,0.05,14,0.91,5020,287,271,0.057,0.054,,,,,,
100000,0.01,16,0.91,989,42,27,0.042,0.027,,,,,,
100000,0.1,12,0.91,10074,396,380,0.039,0.038,,,,,,
100000,0.05,15,0.91,5020,167,159,0.033,0.032,,,,,,
100000,0.01,17,0.91,989,31,20,0.031,0.02,,,,,,
100000,0.05,16,0.91,5020,125,119,0.025,0.024,,,,,,
100000,0.1,13,0.91,10074,241,230,0.024,0.023,,,,,,
100000,0.01,18,0.91,989,20,13,0.02,0.013,,,,,,
100000,0.1,14,0.91,10074,122,119,0.012,0.012,,,,,,
100000,0.05,17,0.91,5020,51,50,0.01,0.01,,,,,,
100000,0.01,19,0.91,989,7,3,0.007,0.003,,,,,,
100000,0.05,18,0.91,5020,29,29,0.006,0.006,,,,,,
100000,0.05,19,0.91,5020,24,24,0.005,0.005,,,,,,
100000,0.1,15,0.91,10074,30,29,0.003,0.003,,,,,,
100000,0.1,16,0.91,10074,17,17,0.002,0.002,,,,,,
100000,0.1,18,0.91,10074,6,6,0.001,0.001,,,,,,
100000,0.1,17,0.91,10074,12,12,0.001,0.001,,,,,,
100000,0.1,19,0.91,10074,2,2,0,0,,,,,,
100000,0.01,1,0.91,989,0,0,0,0,,,,,,
100000,0.05,1,0.9,4999,4356,3668,0.871,0.734,,,,,,
100000,0.1,2,0.9,9967,8198,7136,0.823,0.716,,,,,,
100000,0.05,2,0.9,4999,4024,3529,0.805,0.706,,,,,,
100000,0.05,3,0.9,4999,3921,3493,0.784,0.699,,,,,,
100000,0.1,1,0.9,9967,7744,6588,0.777,0.661,,,,,,
100000,0.1,3,0.9,9967,7634,6839,0.766,0.686,,,,,,
100000,0.05,4,0.9,4999,3677,3270,0.736,0.654,,,,,,
100000,0.1,4,0.9,9967,7001,6296,0.702,0.632,,,,,,
100000,0.05,5,0.9,4999,3237,2894,0.648,0.579,,,,,,
100000,0.01,3,0.9,1015,619,445,0.61,0.438,,,,,,
100000,0.01,4,0.9,1015,616,433,0.607,0.427,,,,,,
100000,0.1,5,0.9,9967,5805,5260,0.582,0.528,,,,,,
100000,0.05,6,0.9,4999,2799,2502,0.56,0.501,,,,,,
100000,0.01,6,0.9,1015,462,334,0.455,0.329,,,,,,
100000,0.1,6,0.9,9967,4480,4089,0.449,0.41,,,,,,
100000,0.01,7,0.9,1015,391,284,0.385,0.28,,,,,,
100000,0.01,8,0.9,1015,355,262,0.35,0.258,,,,,,
100000,0.05,8,0.9,4999,1705,1524,0.341,0.305,,,,,,
100000,0.1,7,0.9,9967,3242,2941,0.325,0.295,,,,,,
100000,0.01,2,0.9,1015,317,218,0.312,0.215,,,,,,
100000,0.01,9,0.9,1015,282,201,0.278,0.198,,,,,,
100000,0.05,9,0.9,4999,1236,1090,0.247,0.218,,,,,,
100000,0.1,8,0.9,9967,2124,1936,0.213,0.194,,,,,,
100000,0.01,10,0.9,1015,216,154,0.213,0.152,,,,,,
100000,0.05,10,0.9,4999,853,748,0.171,0.15,,,,,,
100000,0.01,12,0.9,1015,164,121,0.162,0.119,,,,,,
100000,0.01,11,0.9,1015,155,114,0.153,0.112,,,,,,
100000,0.1,9,0.9,9967,1296,1179,0.13,0.118,,,,,,
100000,0.01,13,0.9,1015,121,89,0.119,0.088,,,,,,
100000,0.01,14,0.9,1015,118,86,0.116,0.085,,,,,,
100000,0.05,12,0.9,4999,447,397,0.089,0.079,,,,,,
100000,0.1,10,0.9,9967,780,721,0.078,0.072,,,,,,
100000,0.05,13,0.9,4999,304,263,0.061,0.053,,,,,,
100000,0.01,15,0.9,1015,50,36,0.049,0.035,,,,,,
100000,0.1,11,0.9,9967,460,423,0.046,0.042,,,,,,
100000,0.05,14,0.9,4999,164,141,0.033,0.028,,,,,,
100000,0.01,16,0.9,1015,32,24,0.032,0.024,,,,,,
100000,0.05,15,0.9,4999,120,100,0.024,0.02,,,,,,
100000,0.01,17,0.9,1015,22,17,0.022,0.017,,,,,,
100000,0.01,18,0.9,1015,13,9,0.013,0.009,,,,,,
100000,0.05,16,0.9,4999,51,40,0.01,0.008,,,,,,
100000,0.01,19,0.9,1015,7,6,0.007,0.006,,,,,,
100000,0.1,14,0.9,9967,56,51,0.006,0.005,,,,,,
100000,0.05,17,0.9,4999,20,15,0.004,0.003,,,,,,
100000,0.05,18,0.9,4999,15,12,0.003,0.002,,,,,,
100000,0.1,15,0.9,9967,23,22,0.002,0.002,,,,,,
100000,0.05,19,0.9,4999,9,6,0.002,0.001,,,,,,
100000,0.1,17,0.9,9967,6,6,0.001,0.001,,,,,,
100000,0.1,16,0.9,9967,13,12,0.001,0.001,,,,,,
100000,0.1,19,0.9,9967,3,3,0,0,,,,,,
100000,0.1,18,0.9,9967,3,3,0,0,,,,,,
100000,0.01,1,0.9,1015,0,0,0,0,,,,,,
100000,0.05,1,0.89,4896,4297,3483,0.878,0.711,,,,,,
100000,0.1,2,0.89,10073,8278,7164,0.822,0.711,,,,,,
100000,0.1,1,0.89,10073,7725,6503,0.767,0.646,,,,,,
100000,0.05,3,0.89,4896,3739,3234,0.764,0.661,,,,,,
100000,0.05,2,0.89,4896,3696,3203,0.755,0.654,,,,,,
100000,0.1,3,0.89,10073,7588,6753,0.753,0.67,,,,,,
100000,0.05,4,0.89,4896,3503,3036,0.715,0.62,,,,,,
100000,0.1,4,0.89,10073,7000,6236,0.695,0.619,,,,,,
100000,0.05,5,0.89,4896,3080,2673,0.629,0.546,,,,,,
100000,0.1,5,0.89,10073,5687,5117,0.565,0.508,,,,,,
100000,0.05,6,0.89,4896,2538,2187,0.518,0.447,,,,,,
100000,0.1,6,0.89,10073,4324,3898,0.429,0.387,,,,,,
100000,0.05,7,0.89,4896,1932,1681,0.395,0.343,,,,,,
100000,0.01,5,0.89,982,358,248,0.365,0.253,,,,,,
100000,0.01,6,0.89,982,312,216,0.318,0.22,,,,,,
100000,0.1,7,0.89,10073,2963,2682,0.294,0.266,,,,,,
100000,0.05,8,0.89,4896,1405,1241,0.287,0.253,,,,,,
100000,0.01,7,0.89,982,265,176,0.27,0.179,,,,,,
100000,0.01,8,0.89,982,227,150,0.231,0.153,,,,,,
100000,0.01,4,0.89,982,219,143,0.223,0.146,,,,,,
100000,0.01,9,0.89,982,205,137,0.209,0.14,,,,,,
100000,0.05,9,0.89,4896,917,808,0.187,0.165,,,,,,
100000,0.01,10,0.89,982,182,121,0.185,0.123,,,,,,
100000,0.1,8,0.89,10073,1826,1644,0.181,0.163,,,,,,
100000,0.01,11,0.89,982,133,91,0.135,0.093,,,,,,
100000,0.05,10,0.89,4896,599,532,0.122,0.109,,,,,,
100000,0.1,9,0.89,10073,1094,1003,0.109,0.1,,,,,,
100000,0.01,12,0.89,982,100,69,0.102,0.07,,,,,,
100000,0.01,13,0.89,982,96,67,0.098,0.068,,,,,,
100000,0.01,2,0.89,982,82,52,0.084,0.053,,,,,,
100000,0.05,11,0.89,4896,407,357,0.083,0.073,,,,,,
100000,0.1,10,0.89,10073,624,572,0.062,0.057,,,,,,
100000,0.05,12,0.89,4896,275,241,0.056,0.049,,,,,,
100000,0.05,13,0.89,4896,176,148,0.036,0.03,,,,,,
100000,0.1,11,0.89,10073,349,322,0.035,0.032,,,,,,
100000,0.01,14,0.89,982,30,22,0.031,0.022,,,,,,
100000,0.05,14,0.89,4896,121,104,0.025,0.021,,,,,,
100000,0.01,15,0.89,982,21,16,0.021,0.016,,,,,,
100000,0.1,12,0.89,10073,191,179,0.019,0.018,,,,,,
100000,0.05,15,0.89,4896,75,69,0.015,0.014,,,,,,
100000,0.01,16,0.89,982,14,9,0.014,0.009,,,,,,
100000,0.01,17,0.89,982,13,8,0.013,0.008,,,,,,
100000,0.1,13,0.89,10073,94,86,0.009,0.009,,,,,,
100000,0.01,18,0.89,982,7,5,0.007,0.005,,,,,,
100000,0.05,16,0.89,4896,23,20,0.005,0.004,,,,,,
100000,0.01,19,0.89,982,5,3,0.005,0.003,,,,,,
100000,0.05,17,0.89,4896,20,17,0.004,0.003,,,,,,
100000,0.1,14,0.89,10073,35,30,0.003,0.003,,,,,,
100000,0.05,19,0.89,4896,8,6,0.002,0.001,,,,,,
100000,0.05,18,0.89,4896,12,10,0.002,0.002,,,,,,
100000,0.1,15,0.89,10073,15,14,0.001,0.001,,,,,,
100000,0.1,19,0.89,10073,0,0,0,0,,,,,,
100000,0.1,18,0.89,10073,1,1,0,0,,,,,,
100000,0.1,17,0.89,10073,4,4,0,0,,,,,,
100000,0.1,16,0.89,10073,5,5,0,0,,,,,,
100000,0.01,1,0.89,982,0,0,0,0,,,,,,
100000,0.05,1,0.88,5046,4418,3556,0.876,0.705,,,,,,
100000,0.1,2,0.88,9954,8246,6986,0.828,0.702,,,,,,
100000,0.1,1,0.88,9954,7786,6462,0.782,0.649,,,,,,
100000,0.05,2,0.88,5046,3892,3319,0.771,0.658,,,,,,
100000,0.1,3,0.88,9954,7625,6658,0.766,0.669,,,,,,
100000,0.05,3,0.88,5046,3841,3293,0.761,0.653,,,,,,
100000,0.05,4,0.88,5046,3550,3058,0.704,0.606,,,,,,
100000,0.1,4,0.88,9954,6791,5963,0.682,0.599,,,,,,
100000,0.05,5,0.88,5046,3040,2602,0.602,0.516,,,,,,
100000,0.1,5,0.88,9954,5438,4788,0.546,0.481,,,,,,
100000,0.05,6,0.88,5046,2402,2051,0.476,0.406,,,,,,
100000,0.1,6,0.88,9954,3953,3539,0.397,0.356,,,,,,
100000,0.05,7,0.88,5046,1808,1547,0.358,0.307,,,,,,
100000,0.1,7,0.88,9954,2637,2371,0.265,0.238,,,,,,
100000,0.01,5,0.88,1019,263,156,0.258,0.153,,,,,,
100000,0.05,8,0.88,5046,1272,1095,0.252,0.217,,,,,,
100000,0.01,6,0.88,1019,249,141,0.244,0.138,,,,,,
100000,0.01,4,0.88,1019,230,135,0.226,0.132,,,,,,
100000,0.01,7,0.88,1019,202,126,0.198,0.124,,,,,,
100000,0.01,8,0.88,1019,171,100,0.168,0.098,,,,,,
100000,0.05,9,0.88,5046,794,684,0.157,0.136,,,,,,
100000,0.1,8,0.88,9954,1552,1402,0.156,0.141,,,,,,
100000,0.01,9,0.88,1019,158,102,0.155,0.1,,,,,,
100000,0.01,10,0.88,1019,116,75,0.114,0.074,,,,,,
100000,0.05,10,0.88,5046,488,426,0.097,0.084,,,,,,
100000,0.01,3,0.88,1019,93,50,0.091,0.049,,,,,,
100000,0.1,9,0.88,9954,872,795,0.088,0.08,,,,,,
100000,0.01,11,0.88,1019,90,55,0.088,0.054,,,,,,
100000,0.01,12,0.88,1019,88,56,0.086,0.055,,,,,,
100000,0.05,11,0.88,5046,353,307,0.07,0.061,,,,,,
100000,0.1,10,0.88,9954,489,453,0.049,0.046,,,,,,
100000,0.05,12,0.88,5046,203,169,0.04,0.033,,,,,,
100000,0.01,13,0.88,1019,30,17,0.029,0.017,,,,,,
100000,0.1,11,0.88,9954,275,252,0.028,0.025,,,,,,
100000,0.05,13,0.88,5046,126,103,0.025,0.02,,,,,,
100000,0.01,2,0.88,1019,22,8,0.022,0.008,,,,,,
100000,0.01,15,0.88,1019,18,11,0.018,0.011,,,,,,
100000,0.1,12,0.88,9954,157,137,0.016,0.014,,,,,,
100000,0.05,14,0.88,5046,83,68,0.016,0.013,,,,,,
100000,0.01,14,0.88,1019,16,9,0.016,0.009,,,,,,
100000,0.01,16,0.88,1019,6,4,0.006,0.004,,,,,,
100000,0.01,19,0.88,1019,5,3,0.005,0.003,,,,,,
100000,0.01,17,0.88,1019,5,3,0.005,0.003,,,,,,
100000,0.1,13,0.88,9954,41,34,0.004,0.003,,,,,,
100000,0.05,15,0.88,5046,22,16,0.004,0.003,,,,,,
100000,0.01,18,0.88,1019,3,2,0.003,0.002,,,,,,
100000,0.1,14,0.88,9954,16,13,0.002,0.001,,,,,,
100000,0.05,16,0.88,5046,11,8,0.002,0.002,,,,,,
100000,0.1,15,0.88,9954,5,3,0.001,0,,,,,,
100000,0.05,17,0.88,5046,7,5,0.001,0.001,,,,,,
100000,0.1,19,0.88,9954,0,0,0,0,,,,,,
100000,0.1,18,0.88,9954,1,1,0,0,,,,,,
100000,0.1,17,0.88,9954,1,1,0,0,,,,,,
100000,0.1,16,0.88,9954,1,0,0,0,,,,,,
100000,0.05,19,0.88,5046,1,1,0,0,,,,,,
100000,0.05,18,0.88,5046,2,2,0,0,,,,,,
100000,0.01,1,0.88,1019,0,0,0,0,,,,,,
100000,0.05,1,0.87,4926,4325,3414,0.878,0.693,,,,,,
100000,0.1,2,0.87,10035,8085,6670,0.806,0.665,,,,,,
100000,0.05,2,0.87,4926,3731,3119,0.757,0.633,,,,,,
100000,0.1,1,0.87,10035,7557,6152,0.753,0.613,,,,,,
100000,0.05,3,0.87,4926,3655,3071,0.742,0.623,,,,,,
100000,0.1,3,0.87,10035,7370,6275,0.734,0.625,,,,,,
100000,0.05,4,0.87,4926,3352,2812,0.68,0.571,,,,,,
100000,0.1,4,0.87,10035,6469,5509,0.645,0.549,,,,,,
100000,0.05,5,0.87,4926,2833,2371,0.575,0.481,,,,,,
100000,0.1,5,0.87,10035,5033,4340,0.502,0.432,,,,,,
100000,0.05,6,0.87,4926,2133,1783,0.433,0.362,,,,,,
100000,0.1,6,0.87,10035,3625,3132,0.361,0.312,,,,,,
100000,0.05,7,0.87,4926,1607,1320,0.326,0.268,,,,,,
100000,0.1,7,0.87,10035,2244,1952,0.224,0.195,,,,,,
100000,0.05,8,0.87,4926,1072,881,0.218,0.179,,,,,,
100000,0.01,5,0.87,979,176,100,0.18,0.102,,,,,,
100000,0.01,7,0.87,979,165,93,0.169,0.095,,,,,,
100000,0.01,6,0.87,979,145,81,0.148,0.083,,,,,,
100000,0.01,9,0.87,979,144,78,0.147,0.08,,,,,,
100000,0.01,8,0.87,979,132,74,0.135,0.076,,,,,,
100000,0.01,4,0.87,979,129,63,0.132,0.064,,,,,,
100000,0.05,9,0.87,4926,638,539,0.13,0.109,,,,,,
100000,0.1,8,0.87,10035,1262,1114,0.126,0.111,,,,,,
100000,0.01,10,0.87,979,107,59,0.109,0.06,,,,,,
100000,0.05,10,0.87,4926,406,346,0.082,0.07,,,,,,
100000,0.01,3,0.87,979,77,44,0.079,0.045,,,,,,
100000,0.1,9,0.87,10035,672,596,0.067,0.059,,,,,,
100000,0.01,12,0.87,979,54,32,0.055,0.033,,,,,,
100000,0.05,11,0.87,4926,255,222,0.052,0.045,,,,,,
100000,0.01,11,0.87,979,51,30,0.052,0.031,,,,,,
100000,0.1,10,0.87,10035,387,347,0.039,0.035,,,,,,
100000,0.05,12,0.87,4926,156,137,0.032,0.028,,,,,,
100000,0.01,13,0.87,979,28,15,0.029,0.015,,,,,,
100000,0.01,2,0.87,979,24,14,0.025,0.014,,,,,,
100000,0.1,11,0.87,10035,198,176,0.02,0.018,,,,,,
100000,0.01,14,0.87,979,20,11,0.02,0.011,,,,,,
100000,0.05,13,0.87,4926,92,82,0.019,0.017,,,,,,
100000,0.01,15,0.87,979,14,6,0.014,0.006,,,,,,
100000,0.01,16,0.87,979,11,4,0.011,0.004,,,,,,
100000,0.1,12,0.87,10035,96,82,0.01,0.008,,,,,,
100000,0.01,17,0.87,979,7,1,0.007,0.001,,,,,,
100000,0.05,14,0.87,4926,28,24,0.006,0.005,,,,,,
100000,0.01,18,0.87,979,4,1,0.004,0.001,,,,,,
100000,0.1,13,0.87,10035,25,22,0.002,0.002,,,,,,
100000,0.05,15,0.87,4926,12,11,0.002,0.002,,,,,,
100000,0.05,17,0.87,4926,5,4,0.001,0.001,,,,,,
100000,0.05,16,0.87,4926,5,4,0.001,0.001,,,,,,
100000,0.1,19,0.87,10035,0,0,0,0,,,,,,
100000,0.1,18,0.87,10035,0,0,0,0,,,,,,
100000,0.1,17,0.87,10035,0,0,0,0,,,,,,
100000,0.1,16,0.87,10035,0,0,0,0,,,,,,
100000,0.1,15,0.87,10035,1,1,0,0,,,,,,
100000,0.1,14,0.87,10035,5,5,0,0,,,,,,
100000,0.05,19,0.87,4926,1,1,0,0,,,,,,
100000,0.05,18,0.87,4926,1,1,0,0,,,,,,
100000,0.01,19,0.87,979,0,0,0,0,,,,,,
100000,0.01,1,0.87,979,0,0,0,0,,,,,,
100000,0.05,1,0.86,5013,4470,3348,0.892,0.668,,,,,,
100000,0.1,2,0.86,9967,8134,6514,0.816,0.654,,,,,,
100000,0.1,1,0.86,9967,7650,6066,0.768,0.609,,,,,,
100000,0.05,2,0.86,5013,3741,3000,0.746,0.598,,,,,,
100000,0.05,3,0.86,5013,3717,2972,0.741,0.593,,,,,,
100000,0.1,3,0.86,9967,7252,6009,0.728,0.603,,,,,,
100000,0.05,4,0.86,5013,3327,2655,0.664,0.53,,,,,,
100000,0.1,4,0.86,9967,6349,5282,0.637,0.53,,,,,,
100000,0.05,5,0.86,5013,2747,2206,0.548,0.44,,,,,,
100000,0.1,5,0.86,9967,4797,4020,0.481,0.403,,,,,,
100000,0.05,6,0.86,5013,2036,1645,0.406,0.328,,,,,,
100000,0.1,6,0.86,9967,3218,2739,0.323,0.275,,,,,,
100000,0.05,7,0.86,5013,1445,1158,0.288,0.231,,,,,,
100000,0.1,7,0.86,9967,1940,1653,0.195,0.166,,,,,,
100000,0.05,8,0.86,5013,900,732,0.18,0.146,,,,,,
100000,0.01,5,0.86,994,136,71,0.137,0.071,,,,,,
100000,0.01,4,0.86,994,124,69,0.125,0.069,,,,,,
100000,0.01,6,0.86,994,111,63,0.112,0.063,,,,,,
100000,0.05,9,0.86,5013,550,446,0.11,0.089,,,,,,
100000,0.01,7,0.86,994,108,57,0.109,0.057,,,,,,
100000,0.01,9,0.86,994,107,58,0.108,0.058,,,,,,
100000,0.1,8,0.86,9967,1059,923,0.106,0.093,,,,,,
100000,0.01,8,0.86,994,99,54,0.1,0.054,,,,,,
100000,0.01,3,0.86,994,82,40,0.082,0.04,,,,,,
100000,0.05,10,0.86,5013,345,286,0.069,0.057,,,,,,
100000,0.01,11,0.86,994,61,35,0.061,0.035,,,,,,
100000,0.01,10,0.86,994,55,31,0.055,0.031,,,,,,
100000,0.05,11,0.86,5013,199,169,0.04,0.034,,,,,,
100000,0.1,10,0.86,9967,324,280,0.033,0.028,,,,,,
100000,0.01,12,0.86,994,27,12,0.027,0.012,,,,,,
100000,0.05,12,0.86,5013,119,101,0.024,0.02,,,,,,
100000,0.01,2,0.86,994,20,14,0.02,0.014,,,,,,
100000,0.01,13,0.86,994,18,8,0.018,0.008,,,,,,
100000,0.1,11,0.86,9967,165,144,0.017,0.014,,,,,,
100000,0.05,13,0.86,5013,61,53,0.012,0.011,,,,,,
100000,0.01,14,0.86,994,10,7,0.01,0.007,,,,,,
100000,0.1,12,0.86,9967,69,60,0.007,0.006,,,,,,
100000,0.01,15,0.86,994,6,3,0.006,0.003,,,,,,
100000,0.05,14,0.86,5013,23,16,0.005,0.003,,,,,,
100000,0.01,16,0.86,994,5,2,0.005,0.002,,,,,,
100000,0.05,15,0.86,5013,13,11,0.003,0.002,,,,,,
100000,0.1,13,0.86,9967,21,20,0.002,0.002,,,,,,
100000,0.01,18,0.86,994,2,0,0.002,0,,,,,,
100000,0.01,17,0.86,994,2,0,0.002,0,,,,,,
100000,0.1,14,0.86,9967,10,10,0.001,0.001,,,,,,
100000,0.05,17,0.86,5013,4,2,0.001,0,,,,,,
100000,0.05,16,0.86,5013,4,4,0.001,0.001,,,,,,
100000,0.1,19,0.86,9967,0,0,0,0,,,,,,
100000,0.1,18,0.86,9967,0,0,0,0,,,,,,
100000,0.1,17,0.86,9967,0,0,0,0,,,,,,
100000,0.1,16,0.86,9967,0,0,0,0,,,,,,
100000,0.1,15,0.86,9967,3,3,0,0,,,,,,
100000,0.05,19,0.86,5013,2,0,0,0,,,,,,
100000,0.05,18,0.86,5013,1,0,0,0,,,,,,
100000,0.01,19,0.86,994,0,0,0,0,,,,,,
100000,0.01,1,0.86,994,0,0,0,0,,,,,,
100000,0.05,1,0.85,5008,4480,3316,0.895,0.662,,,,,,
100000,0.1,2,0.85,9840,7955,6283,0.808,0.639,,,,,,
100000,0.1,1,0.85,9840,7536,5860,0.766,0.596,,,,,,
100000,0.05,2,0.85,5008,3752,2983,0.749,0.596,,,,,,
100000,0.1,3,0.85,9840,7201,5842,0.732,0.594,,,,,,
100000,0.05,3,0.85,5008,3657,2900,0.73,0.579,,,,,,
100000,0.05,4,0.85,5008,3216,2562,0.642,0.512,,,,,,
100000,0.1,4,0.85,9840,6129,5011,0.623,0.509,,,,,,
100000,0.05,5,0.85,5008,2547,2041,0.509,0.408,,,,,,
100000,0.1,5,0.85,9840,4504,3704,0.458,0.376,,,,,,
100000,0.05,6,0.85,5008,1832,1478,0.366,0.295,,,,,,
100000,0.1,6,0.85,9840,3005,2504,0.305,0.254,,,,,,
100000,0.05,7,0.85,5008,1285,1029,0.257,0.205,,,,,,
100000,0.1,7,0.85,9840,1647,1392,0.167,0.141,,,,,,
100000,0.05,8,0.85,5008,744,589,0.149,0.118,,,,,,
100000,0.01,4,0.85,1036,131,63,0.126,0.061,,,,,,
100000,0.01,5,0.85,1036,111,62,0.107,0.06,,,,,,
100000,0.01,7,0.85,1036,99,45,0.096,0.043,,,,,,
100000,0.05,9,0.85,5008,451,362,0.09,0.072,,,,,,
100000,0.1,8,0.85,9840,848,737,0.086,0.075,,,,,,
100000,0.01,6,0.85,1036,89,44,0.086,0.042,,,,,,
100000,0.01,8,0.85,1036,75,37,0.072,0.036,,,,,,
100000,0.01,10,0.85,1036,73,39,0.07,0.038,,,,,,
100000,0.01,9,0.85,1036,70,38,0.068,0.037,,,,,,
100000,0.05,10,0.85,5008,276,226,0.055,0.045,,,,,,
100000,0.01,3,0.85,1036,54,28,0.052,0.027,,,,,,
100000,0.1,9,0.85,9840,423,373,0.043,0.038,,,,,,
100000,0.05,11,0.85,5008,130,102,0.026,0.02,,,,,,
100000,0.1,10,0.85,9840,219,196,0.022,0.02,,,,,,
100000,0.01,11,0.85,1036,22,13,0.021,0.013,,,,,,
100000,0.01,2,0.85,1036,20,9,0.019,0.009,,,,,,
100000,0.05,12,0.85,5008,80,65,0.016,0.013,,,,,,
100000,0.01,12,0.85,1036,11,5,0.011,0.005,,,,,,
100000,0.1,11,0.85,9840,91,83,0.009,0.008,,,,,,
100000,0.01,13,0.85,1036,8,4,0.008,0.004,,,,,,
100000,0.05,13,0.85,5008,27,21,0.005,0.004,,,,,,
