InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes
1000,0.1,3,0.75,108,85,62,0.787,0.574
1000,0.1,2,0.75,108,89,61,0.824,0.565
1000,0.1,1,0.75,108,93,61,0.861,0.565
1000,0.1,4,0.7,113,65,32,0.575,0.283
1000,0.1,3,0.7,113,80,37,0.708,0.327
1000,0.1,2,0.7,113,98,43,0.867,0.381
1000,0.1,1,0.7,113,88,40,0.779,0.354
100,0.1,4,1.0,5,5,5,1.0,1.0
100,0.1,3,1.0,5,5,5,1.0,1.0
100,0.1,2,1.0,5,5,5,1.0,1.0
100,0.1,1,1.0,5,5,5,1.0,1.0
100,0.1,4,0.95,11,9,9,0.818,0.818
100,0.1,3,0.95,11,9,9,0.818,0.818
100,0.1,2,0.95,11,9,9,0.818,0.818
100,0.1,1,0.95,11,9,9,0.818,0.818
100,0.1,4,0.9,6,7,6,1.167,1.0
100,0.1,3,0.9,6,7,6,1.167,1.0
100,0.1,2,0.9,6,7,6,1.167,1.0
100,0.1,1,0.9,6,7,6,1.167,1.0
100,0.1,4,0.85,10,10,9,1.0,0.9
100,0.1,3,0.85,10,10,9,1.0,0.9
100,0.1,2,0.85,10,11,9,1.1,0.9
100,0.1,1,0.85,10,10,7,1.0,0.7
100,0.1,4,0.8,11,6,4,0.545,0.364
100,0.1,3,0.8,11,6,5,0.545,0.455
100,0.1,2,0.8,11,10,6,0.909,0.545
100,0.1,1,0.8,11,9,6,0.818,0.545
100,0.1,4,0.75,6,4,2,0.667,0.333
100,0.1,3,0.75,6,3,1,0.5,0.167
100,0.1,2,0.75,6,5,2,0.833,0.333
100,0.1,1,0.75,6,5,2,0.833,0.333
100,0.1,4,0.7,10,6,2,0.6,0.2
100,0.1,3,0.7,10,8,4,0.8,0.4
100,0.1,2,0.7,10,10,4,1.0,0.4
100,0.1,1,0.7,10,7,3,0.7,0.3
100000,0.1,4,1.0,9712,8781,8759,0.904,0.902
100000,0.1,3,1.0,9712,8790,8764,0.905,0.902
100000,0.1,2,1.0,9712,8816,8780,0.908,0.904
100000,0.1,1,1.0,9712,8202,7922,0.845,0.816
100000,0.1,4,0.95,9887,7900,7682,0.799,0.777
100000,0.1,3,0.95,9887,7986,7762,0.808,0.785
100000,0.1,2,0.95,9887,8416,7990,0.851,0.808
100000,0.1,1,0.95,9887,7898,7267,0.799,0.735
100000,0.1,4,0.9,9812,7132,6515,0.727,0.664
100000,0.1,3,0.9,9812,7286,6669,0.743,0.68
100000,0.1,2,0.9,9812,8022,7057,0.818,0.719
100000,0.1,1,0.9,9812,7512,6455,0.766,0.658
100000,0.1,4,0.85,9952,6727,5554,0.676,0.558
100000,0.1,3,0.85,9952,6977,5778,0.701,0.581
100000,0.1,2,0.85,9952,8008,6309,0.805,0.634
100000,0.1,1,0.85,9952,7558,5882,0.759,0.591
100000,0.1,4,0.8,10037,6546,4676,0.652,0.466
100000,0.1,3,0.8,10037,6991,5006,0.697,0.499
100000,0.1,2,0.8,10037,8183,5554,0.815,0.553
100000,0.1,1,0.8,10037,7702,5259,0.767,0.524
100000,0.1,4,0.75,9921,6436,3866,0.649,0.39
100000,0.1,3,0.75,9921,7097,4284,0.715,0.432
100000,0.1,2,0.75,9921,8373,4787,0.844,0.483
100000,0.1,1,0.75,9921,7823,4595,0.789,0.463
100000,0.1,4,0.7,9981,6655,3207,0.667,0.321
100000,0.1,3,0.7,9981,7605,3722,0.762,0.373
100000,0.1,2,0.7,9981,9100,4241,0.912,0.425
100000,0.1,1,0.7,9981,8397,4161,0.841,0.417
10000,0.1,4,1.0,970,876,873,0.903,0.9
10000,0.1,3,1.0,970,879,876,0.906,0.903
10000,0.1,2,1.0,970,874,869,0.901,0.896
10000,0.1,1,1.0,970,808,773,0.833,0.797
10000,0.1,4,0.95,1016,805,780,0.792,0.768
10000,0.1,3,0.95,1016,812,787,0.799,0.775
10000,0.1,2,0.95,1016,859,811,0.845,0.798
10000,0.1,1,0.95,1016,801,730,0.788,0.719
10000,0.1,4,0.9,937,715,645,0.763,0.688
10000,0.1,3,0.9,937,730,668,0.779,0.713
10000,0.1,2,0.9,937,800,700,0.854,0.747
10000,0.1,1,0.9,937,742,644,0.792,0.687
10000,0.1,4,0.85,998,646,541,0.647,0.542
10000,0.1,3,0.85,998,685,571,0.686,0.572
10000,0.1,2,0.85,998,799,631,0.801,0.632
10000,0.1,1,0.85,998,778,591,0.78,0.592
10000,0.1,4,0.8,998,696,511,0.697,0.512
10000,0.1,3,0.8,998,737,541,0.738,0.542
10000,0.1,2,0.8,998,854,602,0.856,0.603
10000,0.1,1,0.8,998,808,559,0.81,0.56
10000,0.1,4,0.75,1007,639,372,0.635,0.369
10000,0.1,3,0.75,1007,717,416,0.712,0.413
10000,0.1,2,0.75,1007,834,468,0.828,0.465
10000,0.1,1,0.75,1007,788,456,0.783,0.453
10000,0.1,4,0.7,971,703,339,0.724,0.349
10000,0.1,3,0.7,971,763,372,0.786,0.383
10000,0.1,2,0.7,971,926,432,0.954,0.445
10000,0.1,1,0.7,971,841,405,0.866,0.417
1000,0.1,4,1.0,107,95,95,0.888,0.888
1000,0.1,3,1.0,107,97,97,0.907,0.907
1000,0.1,2,1.0,107,98,98,0.916,0.916
1000,0.1,1,1.0,107,85,82,0.794,0.766
1000,0.1,4,0.95,102,76,74,0.745,0.725
1000,0.1,3,0.95,102,77,76,0.755,0.745
1000,0.1,2,0.95,102,79,77,0.775,0.755
1000,0.1,1,0.95,102,72,69,0.706,0.676
1000,0.1,4,0.9,107,81,75,0.757,0.701
1000,0.1,3,0.9,107,88,78,0.822,0.729
1000,0.1,2,0.9,107,93,81,0.869,0.757
1000,0.1,1,0.9,107,80,70,0.748,0.654
1000,0.1,4,0.85,95,67,54,0.705,0.568
1000,0.1,3,0.85,95,68,55,0.716,0.579
1000,0.1,2,0.85,95,72,57,0.758,0.6
1000,0.1,1,0.85,95,75,58,0.789,0.611
1000,0.1,4,0.8,98,57,39,0.582,0.398
1000,0.1,3,0.8,98,64,45,0.653,0.459
1000,0.1,2,0.8,98,81,53,0.827,0.541
1000,0.1,1,0.8,98,76,46,0.776,0.469
1000,0.1,4,0.75,111,60,37,0.541,0.333
1000,0.1,3,0.75,111,76,49,0.685,0.441
1000,0.1,2,0.75,111,97,59,0.874,0.532
1000,0.1,1,0.75,111,82,54,0.739,0.486
1000,0.1,4,0.7,92,64,29,0.696,0.315
1000,0.1,3,0.7,92,79,33,0.859,0.359
1000,0.1,2,0.7,92,88,35,0.957,0.38
1000,0.1,1,0.7,92,84,37,0.913,0.402
100,0.1,4,1.0,11,8,8,0.727,0.727
100,0.1,3,1.0,11,8,8,0.727,0.727
100,0.1,2,1.0,11,8,8,0.727,0.727
100,0.1,1,1.0,11,8,8,0.727,0.727
100,0.1,4,0.95,10,8,7,0.8,0.7
100,0.1,3,0.95,10,6,6,0.6,0.6
100,0.1,2,0.95,10,8,7,0.8,0.7
100,0.1,1,0.95,10,10,9,1.0,0.9
100,0.1,4,0.9,11,7,7,0.636,0.636
100,0.1,3,0.9,11,9,8,0.818,0.727
100,0.1,2,0.9,11,7,7,0.636,0.636
100,0.1,1,0.9,11,9,8,0.818,0.727
100,0.1,4,0.85,7,5,4,0.714,0.571
100,0.1,3,0.85,7,5,4,0.714,0.571
100,0.1,2,0.85,7,5,4,0.714,0.571
100,0.1,1,0.85,7,5,4,0.714,0.571
100,0.1,4,0.8,8,4,3,0.5,0.375
100,0.1,3,0.8,8,4,3,0.5,0.375
100,0.1,2,0.8,8,5,3,0.625,0.375
100,0.1,1,0.8,8,5,3,0.625,0.375
100,0.1,4,0.75,9,7,3,0.778,0.333
100,0.1,3,0.75,9,6,3,0.667,0.333
100,0.1,2,0.75,9,9,3,1.0,0.333
100,0.1,1,0.75,9,9,3,1.0,0.333
100,0.1,4,0.7,12,6,3,0.5,0.25
100,0.1,3,0.7,12,8,3,0.667,0.25
100,0.1,2,0.7,12,10,3,0.833,0.25
100,0.1,1,0.7,12,7,3,0.583,0.25
100000,0.1,4,1.0,10010,9096,9080,0.909,0.907
100000,0.1,3,1.0,10010,9093,9078,0.908,0.907
100000,0.1,2,1.0,10010,9101,9061,0.909,0.905
100000,0.1,1,1.0,10010,8415,8088,0.841,0.808
100000,0.1,4,0.95,10106,8036,7804,0.795,0.772
100000,0.1,3,0.95,10106,8133,7899,0.805,0.782
100000,0.1,2,0.95,10106,8592,8138,0.85,0.805
100000,0.1,1,0.95,10106,8044,7391,0.796,0.731
100000,0.1,4,0.9,9957,7124,6516,0.715,0.654
100000,0.1,3,0.9,9957,7394,6780,0.743,0.681
100000,0.1,2,0.9,9957,8132,7157,0.817,0.719
100000,0.1,1,0.9,9957,7715,6620,0.775,0.665
100000,0.1,4,0.85,10053,6720,5480,0.668,0.545
100000,0.1,3,0.85,10053,7019,5787,0.698,0.576
100000,0.1,2,0.85,10053,8123,6314,0.808,0.628
100000,0.1,1,0.85,10053,7649,5868,0.761,0.584
100000,0.1,4,0.8,9916,6454,4617,0.651,0.466
100000,0.1,3,0.8,9916,6894,5010,0.695,0.505
100000,0.1,2,0.8,9916,8141,5567,0.821,0.561
100000,0.1,1,0.8,9916,7670,5278,0.773,0.532
100000,0.1,4,0.75,10053,6234,3742,0.62,0.372
100000,0.1,3,0.75,10053,7075,4288,0.704,0.427
100000,0.1,2,0.75,10053,8427,4843,0.838,0.482
100000,0.1,1,0.75,10053,7886,4642,0.784,0.462
100000,0.1,4,0.7,9996,6440,3183,0.644,0.318
100000,0.1,3,0.7,9996,7489,3689,0.749,0.369
100000,0.1,2,0.7,9996,9067,4274,0.907,0.428
100000,0.1,1,0.7,9996,8312,4141,0.832,0.414
10000,0.1,4,1.0,1012,927,927,0.916,0.916
10000,0.1,3,1.0,1012,928,928,0.917,0.917
10000,0.1,2,1.0,1012,923,922,0.912,0.911
10000,0.1,1,1.0,1012,877,839,0.867,0.829
10000,0.1,4,0.95,982,804,789,0.819,0.803
10000,0.1,3,0.95,982,807,791,0.822,0.805
10000,0.1,2,0.95,982,856,820,0.872,0.835
10000,0.1,1,0.95,982,817,760,0.832,0.774
10000,0.1,4,0.9,971,696,623,0.717,0.642
10000,0.1,3,0.9,971,735,655,0.757,0.675
10000,0.1,2,0.9,971,800,688,0.824,0.709
10000,0.1,1,0.9,971,777,643,0.8,0.662
10000,0.1,4,0.85,974,643,511,0.66,0.525
10000,0.1,3,0.85,974,680,548,0.698,0.563
10000,0.1,2,0.85,974,779,602,0.8,0.618
10000,0.1,1,0.85,974,753,568,0.773,0.583
10000,0.1,4,0.8,1010,634,458,0.628,0.453
10000,0.1,3,0.8,1010,698,493,0.691,0.488
10000,0.1,2,0.8,1010,803,538,0.795,0.533
10000,0.1,1,0.8,1010,723,507,0.716,0.502
10000,0.1,4,0.75,1013,648,367,0.64,0.362
10000,0.1,3,0.75,1013,707,416,0.698,0.411
10000,0.1,2,0.75,1013,844,469,0.833,0.463
10000,0.1,1,0.75,1013,766,445,0.756,0.439
10000,0.1,4,0.7,1012,621,307,0.614,0.303
10000,0.1,3,0.7,1012,755,370,0.746,0.366
10000,0.1,2,0.7,1012,934,432,0.923,0.427
10000,0.1,1,0.7,1012,870,425,0.86,0.42
1000,0.1,4,1.0,86,77,77,0.895,0.895
1000,0.1,3,1.0,86,78,78,0.907,0.907
1000,0.1,2,1.0,86,76,76,0.884,0.884
1000,0.1,1,1.0,86,67,63,0.779,0.733
1000,0.1,4,0.95,93,70,68,0.753,0.731
1000,0.1,3,0.95,93,75,74,0.806,0.796
1000,0.1,2,0.95,93,75,73,0.806,0.785
1000,0.1,1,0.95,93,77,71,0.828,0.763
1000,0.1,4,0.9,79,64,55,0.81,0.696
1000,0.1,3,0.9,79,64,56,0.81,0.709
1000,0.1,2,0.9,79,70,61,0.886,0.772
1000,0.1,1,0.9,79,65,56,0.823,0.709
1000,0.1,4,0.85,86,52,42,0.605,0.488
1000,0.1,3,0.85,86,57,47,0.663,0.547
1000,0.1,2,0.85,86,62,50,0.721,0.581
1000,0.1,1,0.85,86,56,47,0.651,0.547
1000,0.1,4,0.8,100,61,42,0.61,0.42
1000,0.1,3,0.8,100,66,48,0.66,0.48
1000,0.1,2,0.8,100,80,53,0.8,0.53
1000,0.1,1,0.8,100,76,51,0.76,0.51
1000,0.1,4,0.75,115,76,55,0.661,0.478
1000,0.1,3,0.75,115,75,59,0.652,0.513
1000,0.1,2,0.75,115,88,62,0.765,0.539
1000,0.1,1,0.75,115,78,54,0.678,0.47
1000,0.1,4,0.7,94,74,36,0.787,0.383
1000,0.1,3,0.7,94,85,42,0.904,0.447
1000,0.1,2,0.7,94,105,50,1.117,0.532
1000,0.1,1,0.7,94,103,50,1.096,0.532
100,0.1,4,1.0,11,6,6,0.545,0.545
100,0.1,3,1.0,11,6,6,0.545,0.545
100,0.1,2,1.0,11,6,6,0.545,0.545
100,0.1,1,1.0,11,6,6,0.545,0.545
100,0.1,4,0.95,14,9,6,0.643,0.429
100,0.1,3,0.95,14,9,6,0.643,0.429
100,0.1,2,0.95,14,10,6,0.714,0.429
100,0.1,1,0.95,14,9,6,0.643,0.429
100,0.1,4,0.9,10,7,7,0.7,0.7
100,0.1,3,0.9,10,8,8,0.8,0.8
100,0.1,2,0.9,10,8,8,0.8,0.8
100,0.1,1,0.9,10,8,8,0.8,0.8
100,0.1,4,0.85,13,10,9,0.769,0.692
100,0.1,3,0.85,13,10,9,0.769,0.692
100,0.1,2,0.85,13,10,9,0.769,0.692
100,0.1,1,0.85,13,9,7,0.692,0.538
100,0.1,4,0.8,8,4,2,0.5,0.25
100,0.1,3,0.8,8,4,2,0.5,0.25
100,0.1,2,0.8,8,6,3,0.75,0.375
100,0.1,1,0.8,8,5,3,0.625,0.375
100,0.1,4,0.75,14,7,4,0.5,0.286
100,0.1,3,0.75,14,9,6,0.643,0.429
100,0.1,2,0.75,14,9,6,0.643,0.429
100,0.1,1,0.75,14,7,6,0.5,0.429
100,0.1,4,0.7,12,6,3,0.5,0.25
100,0.1,3,0.7,12,8,5,0.667,0.417
100,0.1,2,0.7,12,12,8,1.0,0.667
100,0.1,1,0.7,12,8,6,0.667,0.5
100000,0.1,4,1.0,10152,9120,9104,0.898,0.897
100000,0.1,3,1.0,10152,9138,9113,0.9,0.898
100000,0.1,2,1.0,10152,9178,9118,0.904,0.898
100000,0.1,1,1.0,10152,8454,8118,0.833,0.8
100000,0.1,4,0.95,10159,7995,7749,0.787,0.763
100000,0.1,3,0.95,10159,8166,7925,0.804,0.78
100000,0.1,2,0.95,10159,8597,8159,0.846,0.803
100000,0.1,1,0.95,10159,8086,7375,0.796,0.726
100000,0.1,4,0.9,10010,7186,6566,0.718,0.656
100000,0.1,3,0.9,10010,7479,6844,0.747,0.684
100000,0.1,2,0.9,10010,8180,7204,0.817,0.72
100000,0.1,1,0.9,10010,7748,6654,0.774,0.665
100000,0.1,4,0.85,10144,6650,5544,0.656,0.547
100000,0.1,3,0.85,10144,7044,5916,0.694,0.583
100000,0.1,2,0.85,10144,8096,6447,0.798,0.636
100000,0.1,1,0.85,10144,7609,5955,0.75,0.587
100000,0.1,4,0.8,10106,6420,4617,0.635,0.457
100000,0.1,3,0.8,10106,7028,5124,0.695,0.507
100000,0.1,2,0.8,10106,8201,5670,0.811,0.561
100000,0.1,1,0.8,10106,7730,5319,0.765,0.526
100000,0.1,4,0.75,10015,6303,3776,0.629,0.377
100000,0.1,3,0.75,10015,7120,4294,0.711,0.429
100000,0.1,2,0.75,10015,8532,4882,0.852,0.487
100000,0.1,1,0.75,10015,7927,4716,0.792,0.471
100000,0.1,4,0.7,10076,6170,3020,0.612,0.3
100000,0.1,3,0.7,10076,7505,3693,0.745,0.367
100000,0.1,2,0.7,10076,9037,4255,0.897,0.422
100000,0.1,1,0.7,10076,8350,4122,0.829,0.409
10000,0.1,4,1.0,964,859,858,0.891,0.89
10000,0.1,3,1.0,964,875,874,0.908,0.907
10000,0.1,2,1.0,964,873,868,0.906,0.9
10000,0.1,1,1.0,964,805,773,0.835,0.802
10000,0.1,4,0.95,1023,798,775,0.78,0.758
10000,0.1,3,0.95,1023,822,795,0.804,0.777
10000,0.1,2,0.95,1023,855,818,0.836,0.8
10000,0.1,1,0.95,1023,812,750,0.794,0.733
10000,0.1,4,0.9,988,734,674,0.743,0.682
10000,0.1,3,0.9,988,756,701,0.765,0.71
10000,0.1,2,0.9,988,829,739,0.839,0.748
10000,0.1,1,0.9,988,780,673,0.789,0.681
10000,0.1,4,0.85,999,664,545,0.665,0.546
10000,0.1,3,0.85,999,692,569,0.693,0.57
10000,0.1,2,0.85,999,785,619,0.786,0.62
10000,0.1,1,0.85,999,733,579,0.734,0.58
10000,0.1,4,0.8,1007,660,483,0.655,0.48
10000,0.1,3,0.8,1007,756,553,0.751,0.549
10000,0.1,2,0.8,1007,853,600,0.847,0.596
10000,0.1,1,0.8,1007,791,553,0.786,0.549
10000,0.1,4,0.75,965,639,357,0.662,0.37
10000,0.1,3,0.75,965,707,401,0.733,0.416
10000,0.1,2,0.75,965,843,456,0.874,0.473
10000,0.1,1,0.75,965,765,440,0.793,0.456
10000,0.1,4,0.7,950,603,304,0.635,0.32
10000,0.1,3,0.7,950,712,350,0.749,0.368
10000,0.1,2,0.7,950,852,409,0.897,0.431
10000,0.1,1,0.7,950,795,401,0.837,0.422
1000,0.1,4,1.0,79,70,70,0.886,0.886
1000,0.1,3,1.0,79,69,69,0.873,0.873
1000,0.1,2,1.0,79,70,70,0.886,0.886
1000,0.1,1,1.0,79,64,61,0.81,0.772
1000,0.1,4,0.95,103,80,76,0.777,0.738
1000,0.1,3,0.95,103,82,78,0.796,0.757
1000,0.1,2,0.95,103,86,81,0.835,0.786
1000,0.1,1,0.95,103,78,71,0.757,0.689
1000,0.1,4,0.9,97,73,67,0.753,0.691
1000,0.1,3,0.9,97,74,69,0.763,0.711
1000,0.1,2,0.9,97,81,72,0.835,0.742
1000,0.1,1,0.9,97,77,68,0.794,0.701
1000,0.1,4,0.85,88,68,55,0.773,0.625
1000,0.1,3,0.85,88,73,58,0.83,0.659
1000,0.1,2,0.85,88,83,62,0.943,0.705
1000,0.1,1,0.85,88,80,61,0.909,0.693
1000,0.1,4,0.8,81,55,36,0.679,0.444
1000,0.1,3,0.8,81,61,40,0.753,0.494
1000,0.1,2,0.8,81,64,41,0.79,0.506
1000,0.1,1,0.8,81,59,39,0.728,0.481
1000,0.1,4,0.75,99,63,37,0.636,0.374
1000,0.1,3,0.75,99,79,48,0.798,0.485
1000,0.1,2,0.75,99,97,58,0.98,0.586
1000,0.1,1,0.75,99,88,54,0.889,0.545
1000,0.1,4,0.7,114,82,29,0.719,0.254
1000,0.1,3,0.7,114,88,38,0.772,0.333
1000,0.1,2,0.7,114,92,42,0.807,0.368
1000,0.1,1,0.7,114,88,41,0.772,0.36
100,0.1,4,1.0,12,10,10,0.833,0.833
100,0.1,3,1.0,12,11,11,0.917,0.917
100,0.1,2,1.0,12,10,10,0.833,0.833
100,0.1,1,1.0,12,12,11,1.0,0.917
100,0.1,4,0.95,8,7,7,0.875,0.875
100,0.1,3,0.95,8,7,6,0.875,0.75
100,0.1,2,0.95,8,8,7,1.0,0.875
100,0.1,1,0.95,8,6,6,0.75,0.75
100,0.1,4,0.9,12,8,7,0.667,0.583
100,0.1,3,0.9,12,10,8,0.833,0.667
100,0.1,2,0.9,12,9,7,0.75,0.583
100,0.1,1,0.9,12,12,9,1.0,0.75
100,0.1,4,0.85,12,9,9,0.75,0.75
100,0.1,3,0.85,12,10,10,0.833,0.833
100,0.1,2,0.85,12,10,10,0.833,0.833
100,0.1,1,0.85,12,10,10,0.833,0.833
100,0.1,4,0.8,9,4,3,0.444,0.333
100,0.1,3,0.8,9,7,5,0.778,0.556
100,0.1,2,0.8,9,8,5,0.889,0.556
100,0.1,1,0.8,9,14,8,1.556,0.889
100,0.1,4,0.75,10,7,3,0.7,0.3
100,0.1,3,0.75,10,9,3,0.9,0.3
100,0.1,2,0.75,10,13,5,1.3,0.5
100,0.1,1,0.75,10,10,5,1.0,0.5
100,0.1,4,0.7,11,7,6,0.636,0.545
100,0.1,3,0.7,11,8,7,0.727,0.636
100,0.1,2,0.7,11,10,9,0.909,0.818
100,0.1,1,0.7,11,8,7,0.727,0.636
100000,0.1,4,1.0,10134,9129,9118,0.901,0.9
100000,0.1,3,1.0,10134,9223,9202,0.91,0.908
100000,0.1,2,1.0,10134,9235,9186,0.911,0.906
100000,0.1,1,1.0,10134,8512,8216,0.84,0.811
100000,0.1,4,0.95,10027,7779,7550,0.776,0.753
100000,0.1,3,0.95,10027,8058,7813,0.804,0.779
100000,0.1,2,0.95,10027,8468,8054,0.845,0.803
100000,0.1,1,0.95,10027,7997,7326,0.798,0.731
100000,0.1,4,0.9,9930,7164,6484,0.721,0.653
100000,0.1,3,0.9,9930,7508,6805,0.756,0.685
100000,0.1,2,0.9,9930,8220,7174,0.828,0.722
100000,0.1,1,0.9,9930,7809,6650,0.786,0.67
100000,0.1,4,0.85,10116,6539,5405,0.646,0.534
100000,0.1,3,0.85,10116,7048,5847,0.697,0.578
100000,0.1,2,0.85,10116,8085,6382,0.799,0.631
100000,0.1,1,0.85,10116,7776,6012,0.769,0.594
100000,0.1,4,0.8,10019,6102,4427,0.609,0.442
100000,0.1,3,0.8,10019,6932,5022,0.692,0.501
100000,0.1,2,0.8,10019,8107,5576,0.809,0.557
100000,0.1,1,0.8,10019,7661,5306,0.765,0.53
100000,0.1,4,0.75,10070,6063,3647,0.602,0.362
100000,0.1,3,0.75,10070,7107,4293,0.706,0.426
100000,0.1,2,0.75,10070,8462,4883,0.84,0.485
100000,0.1,1,0.75,10070,7975,4752,0.792,0.472
100000,0.1,4,0.7,10105,5818,2906,0.576,0.288
100000,0.1,3,0.7,10105,7314,3623,0.724,0.359
100000,0.1,2,0.7,10105,8883,4188,0.879,0.414
100000,0.1,1,0.7,10105,8270,4143,0.818,0.41
10000,0.1,4,1.0,965,827,826,0.857,0.856
10000,0.1,3,1.0,965,856,854,0.887,0.885
10000,0.1,2,1.0,965,859,854,0.89,0.885
10000,0.1,1,1.0,965,804,774,0.833,0.802
10000,0.1,4,0.95,953,756,722,0.793,0.758
10000,0.1,3,0.95,953,787,753,0.826,0.79
10000,0.1,2,0.95,953,819,774,0.859,0.812
10000,0.1,1,0.95,953,753,694,0.79,0.728
10000,0.1,4,0.9,992,703,643,0.709,0.648
10000,0.1,3,0.9,992,743,683,0.749,0.689
10000,0.1,2,0.9,992,811,719,0.818,0.725
10000,0.1,1,0.9,992,767,671,0.773,0.676
10000,0.1,4,0.85,984,622,503,0.632,0.511
10000,0.1,3,0.85,984,669,547,0.68,0.556
10000,0.1,2,0.85,984,783,606,0.796,0.616
10000,0.1,1,0.85,984,748,571,0.76,0.58
10000,0.1,4,0.8,1042,670,473,0.643,0.454
10000,0.1,3,0.8,1042,748,538,0.718,0.516
10000,0.1,2,0.8,1042,859,589,0.824,0.565
10000,0.1,1,0.8,1042,826,570,0.793,0.547
10000,0.1,4,0.75,1017,577,343,0.567,0.337
10000,0.1,3,0.75,1017,705,418,0.693,0.411
10000,0.1,2,0.75,1017,810,471,0.796,0.463
10000,0.1,1,0.75,1017,745,448,0.733,0.441
10000,0.1,4,0.7,979,597,312,0.61,0.319
10000,0.1,3,0.7,979,717,368,0.732,0.376
10000,0.1,2,0.7,979,855,428,0.873,0.437
10000,0.1,1,0.7,979,770,413,0.787,0.422
1000,0.1,4,1.0,110,92,91,0.836,0.827
1000,0.1,3,1.0,110,93,93,0.845,0.845
1000,0.1,2,1.0,110,93,93,0.845,0.845
1000,0.1,1,1.0,110,90,86,0.818,0.782
1000,0.1,4,0.95,88,68,67,0.773,0.761
1000,0.1,3,0.95,88,75,73,0.852,0.83
1000,0.1,2,0.95,88,76,73,0.864,0.83
1000,0.1,1,0.95,88,71,69,0.807,0.784
1000,0.1,4,0.9,97,69,66,0.711,0.68
1000,0.1,3,0.9,97,76,70,0.784,0.722
1000,0.1,2,0.9,97,83,74,0.856,0.763
1000,0.1,1,0.9,97,73,65,0.753,0.67
1000,0.1,4,0.85,90,59,51,0.656,0.567
1000,0.1,3,0.85,90,59,52,0.656,0.578
1000,0.1,2,0.85,90,75,60,0.833,0.667
1000,0.1,1,0.85,90,78,61,0.867,0.678
1000,0.1,4,0.8,107,68,44,0.636,0.411
1000,0.1,3,0.8,107,79,53,0.738,0.495
1000,0.1,2,0.8,107,98,61,0.916,0.57
1000,0.1,1,0.8,107,93,61,0.869,0.57
1000,0.1,4,0.75,105,60,41,0.571,0.39
1000,0.1,3,0.75,105,75,47,0.714,0.448
1000,0.1,2,0.75,105,96,57,0.914,0.543
1000,0.1,1,0.75,105,96,57,0.914,0.543
1000,0.1,4,0.7,108,57,27,0.528,0.25
1000,0.1,3,0.7,108,79,38,0.731,0.352
1000,0.1,2,0.7,108,98,47,0.907,0.435
1000,0.1,1,0.7,108,86,47,0.796,0.435
100,0.1,4,1.0,11,10,10,0.909,0.909
100,0.1,3,1.0,11,11,11,1.0,1.0
100,0.1,2,1.0,11,11,11,1.0,1.0
100,0.1,1,1.0,11,12,11,1.091,1.0
100,0.1,4,0.95,10,10,10,1.0,1.0
100,0.1,3,0.95,10,10,10,1.0,1.0
100,0.1,2,0.95,10,10,10,1.0,1.0
100,0.1,1,0.95,10,6,6,0.6,0.6
100,0.1,4,0.9,9,9,7,1.0,0.778
100,0.1,3,0.9,9,8,7,0.889,0.778
100,0.1,2,0.9,9,8,7,0.889,0.778
100,0.1,1,0.9,9,9,8,1.0,0.889
100,0.1,4,0.85,6,4,2,0.667,0.333
100,0.1,3,0.85,6,3,2,0.5,0.333
100,0.1,2,0.85,6,4,2,0.667,0.333
100,0.1,1,0.85,6,5,3,0.833,0.5
100,0.1,4,0.8,10,5,4,0.5,0.4
100,0.1,3,0.8,10,4,4,0.4,0.4
100,0.1,2,0.8,10,7,6,0.7,0.6
100,0.1,1,0.8,10,5,4,0.5,0.4
100,0.1,4,0.75,7,5,3,0.714,0.429
100,0.1,3,0.75,7,5,2,0.714,0.286
100,0.1,2,0.75,7,11,5,1.571,0.714
100,0.1,1,0.75,7,9,4,1.286,0.571
100,0.1,4,0.7,12,8,5,0.667,0.417
100,0.1,3,0.7,12,11,6,0.917,0.5
100,0.1,2,0.7,12,13,7,1.083,0.583
100,0.1,1,0.7,12,11,7,0.917,0.583
100000,0.1,4,1.0,9951,8906,8898,0.895,0.894
100000,0.1,3,1.0,9951,9015,8997,0.906,0.904
100000,0.1,2,1.0,9951,9009,8976,0.905,0.902
100000,0.1,1,1.0,9951,8321,8019,0.836,0.806
100000,0.1,4,0.95,9930,7747,7505,0.78,0.756
100000,0.1,3,0.95,9930,8084,7813,0.814,0.787
100000,0.1,2,0.95,9930,8443,8014,0.85,0.807
100000,0.1,1,0.95,9930,7964,7307,0.802,0.736
100000,0.1,4,0.9,9995,6898,6276,0.69,0.628
100000,0.1,3,0.9,9995,7406,6740,0.741,0.674
100000,0.1,2,0.9,9995,7950,7021,0.795,0.702
100000,0.1,1,0.9,9995,7734,6625,0.774,0.663
100000,0.1,4,0.85,10036,6150,5080,0.613,0.506
100000,0.1,3,0.85,10036,6918,5692,0.689,0.567
100000,0.1,2,0.85,10036,7506,5962,0.748,0.594
100000,0.1,1,0.85,10036,7478,5795,0.745,0.577
100000,0.1,4,0.8,9782,5643,4019,0.577,0.411
100000,0.1,3,0.8,9782,6660,4784,0.681,0.489
100000,0.1,2,0.8,9782,7369,5133,0.753,0.525
100000,0.1,1,0.8,9782,7572,5152,0.774,0.527
100000,0.1,4,0.75,10023,5498,3395,0.549,0.339
